2025-07-04 10:22:58,845 - INFO - === Starting new sender session ===
2025-07-04 10:22:58,845 - INFO - Starting video sender...
2025-07-04 10:22:58,846 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-04 10:22:58,846 - INFO - Press Ctrl+C to stop
2025-07-04 10:22:58,846 - ERROR - Error: Video file not found at test_video.mp4
2025-07-04 10:47:08,329 - INFO - === Starting new sender session ===
2025-07-04 10:47:08,329 - INFO - Starting video sender...
2025-07-04 10:47:08,329 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-04 10:47:08,329 - INFO - Press Ctrl+C to stop
2025-07-04 10:47:08,329 - ERROR - Error: Video file not found at test_video.mp4
2025-07-24 16:59:17,336 - INFO - === Starting new sender session ===
2025-07-24 16:59:17,337 - INFO - Starting video sender...
2025-07-24 16:59:17,337 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-24 16:59:17,337 - INFO - Press Ctrl+C to stop
2025-07-24 16:59:17,337 - ERROR - Error: Video file not found at test_video.mp4
2025-07-24 17:00:50,494 - INFO - === Starting new sender session ===
2025-07-24 17:00:50,494 - INFO - Starting video sender...
2025-07-24 17:00:50,494 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-24 17:00:50,494 - INFO - Press Ctrl+C to stop
2025-07-24 17:00:50,536 - INFO - Starting video stream from test_video.mp4
2025-07-24 17:00:50,537 - INFO - Sending to 127.0.0.1:5005
2025-07-24 17:00:50,571 - INFO - Frame 0: Sending 69 packets, total size 94493 bytes
2025-07-24 17:00:50,571 - INFO - Sent start of frame 0, total packets: 69
2025-07-24 17:00:50,653 - INFO - Sent end of frame 0, packet 68/68
2025-07-24 17:00:50,700 - INFO - Frame 1: Sending 67 packets, total size 92956 bytes
2025-07-24 17:00:50,700 - INFO - Sent start of frame 1, total packets: 67
2025-07-24 17:00:50,781 - INFO - Sent end of frame 1, packet 66/66
2025-07-24 17:00:50,825 - INFO - Frame 2: Sending 68 packets, total size 93132 bytes
2025-07-24 17:00:50,825 - INFO - Sent start of frame 2, total packets: 68
2025-07-24 17:00:50,909 - INFO - Sent end of frame 2, packet 67/67
2025-07-24 17:00:50,957 - INFO - Frame 3: Sending 68 packets, total size 93147 bytes
2025-07-24 17:00:50,957 - INFO - Sent start of frame 3, total packets: 68
2025-07-24 17:00:51,042 - INFO - Sent end of frame 3, packet 67/67
2025-07-24 17:00:51,086 - INFO - Frame 4: Sending 69 packets, total size 94667 bytes
2025-07-24 17:00:51,086 - INFO - Sent start of frame 4, total packets: 69
2025-07-24 17:00:51,170 - INFO - Sent end of frame 4, packet 68/68
2025-07-24 17:00:51,211 - INFO - Frame 5: Sending 68 packets, total size 93158 bytes
2025-07-24 17:00:51,211 - INFO - Sent start of frame 5, total packets: 68
2025-07-24 17:00:51,292 - INFO - Sent end of frame 5, packet 67/67
2025-07-24 17:00:51,337 - INFO - Frame 6: Sending 68 packets, total size 93527 bytes
2025-07-24 17:00:51,337 - INFO - Sent start of frame 6, total packets: 68
2025-07-24 17:00:51,420 - INFO - Sent end of frame 6, packet 67/67
2025-07-24 17:00:51,460 - INFO - Frame 7: Sending 68 packets, total size 93366 bytes
2025-07-24 17:00:51,461 - INFO - Sent start of frame 7, total packets: 68
2025-07-24 17:00:51,542 - INFO - Sent end of frame 7, packet 67/67
2025-07-24 17:00:51,586 - INFO - Frame 8: Sending 69 packets, total size 95007 bytes
2025-07-24 17:00:51,586 - INFO - Sent start of frame 8, total packets: 69
2025-07-24 17:00:51,669 - INFO - Sent end of frame 8, packet 68/68
2025-07-24 17:00:51,712 - INFO - Frame 9: Sending 68 packets, total size 93477 bytes
2025-07-24 17:00:51,713 - INFO - Sent start of frame 9, total packets: 68
2025-07-24 17:00:51,795 - INFO - Sent end of frame 9, packet 67/67
2025-07-24 17:00:51,840 - INFO - Frame 10: Sending 68 packets, total size 93848 bytes
2025-07-24 17:00:51,841 - INFO - Sent start of frame 10, total packets: 68
2025-07-24 17:00:51,924 - INFO - Sent end of frame 10, packet 67/67
2025-07-24 17:00:51,969 - INFO - Frame 11: Sending 68 packets, total size 93970 bytes
2025-07-24 17:00:51,969 - INFO - Sent start of frame 11, total packets: 68
2025-07-24 17:00:52,051 - INFO - Sent end of frame 11, packet 67/67
2025-07-24 17:00:52,093 - INFO - Frame 12: Sending 69 packets, total size 95474 bytes
2025-07-24 17:00:52,094 - INFO - Sent start of frame 12, total packets: 69
2025-07-24 17:00:52,176 - INFO - Sent end of frame 12, packet 68/68
2025-07-24 17:00:52,220 - INFO - Frame 13: Sending 68 packets, total size 93833 bytes
2025-07-24 17:00:52,220 - INFO - Sent start of frame 13, total packets: 68
2025-07-24 17:00:52,303 - INFO - Sent end of frame 13, packet 67/67
2025-07-24 17:00:52,347 - INFO - Frame 14: Sending 69 packets, total size 94598 bytes
2025-07-24 17:00:52,348 - INFO - Sent start of frame 14, total packets: 69
2025-07-24 17:00:52,428 - INFO - Sent end of frame 14, packet 68/68
2025-07-24 17:00:52,472 - INFO - Frame 15: Sending 69 packets, total size 94386 bytes
2025-07-24 17:00:52,472 - INFO - Sent start of frame 15, total packets: 69
2025-07-24 17:00:52,556 - INFO - Sent end of frame 15, packet 68/68
2025-07-24 17:00:52,600 - INFO - Frame 16: Sending 70 packets, total size 95828 bytes
2025-07-24 17:00:52,600 - INFO - Sent start of frame 16, total packets: 70
2025-07-24 17:00:52,683 - INFO - Sent end of frame 16, packet 69/69
2025-07-24 17:00:52,727 - INFO - Frame 17: Sending 68 packets, total size 94336 bytes
2025-07-24 17:00:52,727 - INFO - Sent start of frame 17, total packets: 68
2025-07-24 17:00:52,807 - INFO - Sent end of frame 17, packet 67/67
2025-07-24 17:00:52,850 - INFO - Frame 18: Sending 69 packets, total size 94666 bytes
2025-07-24 17:00:52,850 - INFO - Sent start of frame 18, total packets: 69
2025-07-24 17:00:52,932 - INFO - Sent end of frame 18, packet 68/68
2025-07-24 17:00:52,975 - INFO - Frame 19: Sending 69 packets, total size 94411 bytes
2025-07-24 17:00:52,975 - INFO - Sent start of frame 19, total packets: 69
2025-07-24 17:00:53,061 - INFO - Sent end of frame 19, packet 68/68
2025-07-24 17:00:53,103 - INFO - Frame 20: Sending 70 packets, total size 96236 bytes
2025-07-24 17:00:53,104 - INFO - Sent start of frame 20, total packets: 70
2025-07-24 17:00:53,187 - INFO - Sent end of frame 20, packet 69/69
2025-07-24 17:00:53,227 - INFO - Frame 21: Sending 69 packets, total size 94570 bytes
2025-07-24 17:00:53,227 - INFO - Sent start of frame 21, total packets: 69
2025-07-24 17:00:53,308 - INFO - Sent end of frame 21, packet 68/68
2025-07-24 17:00:53,352 - INFO - Frame 22: Sending 69 packets, total size 94916 bytes
2025-07-24 17:00:53,352 - INFO - Sent start of frame 22, total packets: 69
2025-07-24 17:00:53,436 - INFO - Sent end of frame 22, packet 68/68
2025-07-24 17:00:53,479 - INFO - Frame 23: Sending 69 packets, total size 94809 bytes
2025-07-24 17:00:53,480 - INFO - Sent start of frame 23, total packets: 69
2025-07-24 17:00:53,561 - INFO - Sent end of frame 23, packet 68/68
2025-07-24 17:00:53,606 - INFO - Frame 24: Sending 70 packets, total size 96397 bytes
2025-07-24 17:00:53,606 - INFO - Sent start of frame 24, total packets: 70
2025-07-24 17:00:53,691 - INFO - Sent end of frame 24, packet 69/69
2025-07-24 17:00:53,735 - INFO - Frame 25: Sending 69 packets, total size 94760 bytes
2025-07-24 17:00:53,735 - INFO - Sent start of frame 25, total packets: 69
2025-07-24 17:00:53,817 - INFO - Sent end of frame 25, packet 68/68
2025-07-24 17:00:53,859 - INFO - Frame 26: Sending 69 packets, total size 95027 bytes
2025-07-24 17:00:53,859 - INFO - Sent start of frame 26, total packets: 69
2025-07-24 17:00:53,941 - INFO - Sent end of frame 26, packet 68/68
2025-07-24 17:00:53,983 - INFO - Frame 27: Sending 69 packets, total size 94748 bytes
2025-07-24 17:00:53,984 - INFO - Sent start of frame 27, total packets: 69
2025-07-24 17:00:54,065 - INFO - Sent end of frame 27, packet 68/68
2025-07-24 17:00:54,109 - INFO - Frame 28: Sending 70 packets, total size 96578 bytes
2025-07-24 17:00:54,109 - INFO - Sent start of frame 28, total packets: 70
2025-07-24 17:00:54,192 - INFO - Sent end of frame 28, packet 69/69
2025-07-24 17:00:54,236 - INFO - Frame 29: Sending 69 packets, total size 94906 bytes
2025-07-24 17:00:54,236 - INFO - Sent start of frame 29, total packets: 69
2025-07-24 17:00:54,319 - INFO - Sent end of frame 29, packet 68/68
2025-07-24 17:00:54,360 - INFO - Frame 30: Sending 69 packets, total size 95342 bytes
2025-07-24 17:00:54,360 - INFO - Sent start of frame 30, total packets: 69
2025-07-24 17:00:54,442 - INFO - Sent end of frame 30, packet 68/68
2025-07-24 17:00:54,486 - INFO - Frame 31: Sending 69 packets, total size 95146 bytes
2025-07-24 17:00:54,486 - INFO - Sent start of frame 31, total packets: 69
2025-07-24 17:00:54,568 - INFO - Sent end of frame 31, packet 68/68
2025-07-24 17:00:54,611 - INFO - Frame 32: Sending 70 packets, total size 96764 bytes
2025-07-24 17:00:54,611 - INFO - Sent start of frame 32, total packets: 70
2025-07-24 17:00:54,696 - INFO - Sent end of frame 32, packet 69/69
2025-07-24 17:00:54,737 - INFO - Frame 33: Sending 69 packets, total size 94993 bytes
2025-07-24 17:00:54,737 - INFO - Sent start of frame 33, total packets: 69
2025-07-24 17:00:54,818 - INFO - Sent end of frame 33, packet 68/68
2025-07-24 17:00:54,860 - INFO - Frame 34: Sending 69 packets, total size 95424 bytes
2025-07-24 17:00:54,860 - INFO - Sent start of frame 34, total packets: 69
2025-07-24 17:00:54,941 - INFO - Sent end of frame 34, packet 68/68
2025-07-24 17:00:54,984 - INFO - Frame 35: Sending 69 packets, total size 95279 bytes
2025-07-24 17:00:54,984 - INFO - Sent start of frame 35, total packets: 69
2025-07-24 17:00:55,106 - INFO - Sent end of frame 35, packet 68/68
