2025-06-16 17:58:45,507 - INFO - === Starting new sender session ===
2025-06-16 17:58:45,508 - INFO - Starting video sender...
2025-06-16 17:58:45,508 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-06-16 17:58:45,508 - INFO - Press Ctrl+C to stop
2025-06-16 17:58:45,533 - INFO - Starting video stream from test_video.mp4
2025-06-16 17:58:45,534 - INFO - Sending to 127.0.0.1:5005
2025-06-16 17:58:45,564 - INFO - Frame 0: Sending 69 packets, total size 94493 bytes
2025-06-16 17:58:45,564 - INFO - Sent start of frame 0, total packets: 69
2025-06-16 17:58:45,645 - INFO - Sent end of frame 0, packet 68/68
2025-06-16 17:58:45,688 - INFO - Frame 1: Sending 67 packets, total size 92956 bytes
2025-06-16 17:58:45,688 - INFO - Sent start of frame 1, total packets: 67
2025-06-16 17:58:45,766 - INFO - Sent end of frame 1, packet 66/66
2025-06-16 17:58:45,812 - INFO - Frame 2: Sending 68 packets, total size 93132 bytes
2025-06-16 17:58:45,812 - INFO - Sent start of frame 2, total packets: 68
2025-06-16 17:58:45,892 - INFO - Sent end of frame 2, packet 67/67
2025-06-16 17:58:45,936 - INFO - Frame 3: Sending 68 packets, total size 93147 bytes
2025-06-16 17:58:45,936 - INFO - Sent start of frame 3, total packets: 68
2025-06-16 17:58:46,088 - INFO - Sent end of frame 3, packet 67/67
2025-06-16 17:58:46,134 - INFO - Frame 4: Sending 69 packets, total size 94667 bytes
2025-06-16 17:58:46,135 - INFO - Sent start of frame 4, total packets: 69
2025-06-16 17:58:46,217 - INFO - Sent end of frame 4, packet 68/68
2025-06-16 17:58:46,262 - INFO - Frame 5: Sending 68 packets, total size 93158 bytes
2025-06-16 17:58:46,262 - INFO - Sent start of frame 5, total packets: 68
2025-06-16 17:58:46,343 - INFO - Sent end of frame 5, packet 67/67
2025-06-16 17:58:46,389 - INFO - Frame 6: Sending 68 packets, total size 93527 bytes
2025-06-16 17:58:46,389 - INFO - Sent start of frame 6, total packets: 68
2025-06-16 17:58:46,469 - INFO - Sent end of frame 6, packet 67/67
2025-06-16 17:58:46,514 - INFO - Frame 7: Sending 68 packets, total size 93366 bytes
2025-06-16 17:58:46,514 - INFO - Sent start of frame 7, total packets: 68
2025-06-16 17:58:46,594 - INFO - Sent end of frame 7, packet 67/67
2025-06-16 17:58:46,638 - INFO - Frame 8: Sending 69 packets, total size 95007 bytes
2025-06-16 17:58:46,638 - INFO - Sent start of frame 8, total packets: 69
2025-06-16 17:58:46,718 - INFO - Sent end of frame 8, packet 68/68
2025-06-16 17:58:46,761 - INFO - Frame 9: Sending 68 packets, total size 93477 bytes
2025-06-16 17:58:46,762 - INFO - Sent start of frame 9, total packets: 68
2025-06-16 17:58:46,842 - INFO - Sent end of frame 9, packet 67/67
2025-06-16 17:58:46,887 - INFO - Frame 10: Sending 68 packets, total size 93848 bytes
2025-06-16 17:58:46,887 - INFO - Sent start of frame 10, total packets: 68
2025-06-16 17:58:46,968 - INFO - Sent end of frame 10, packet 67/67
2025-06-16 17:58:47,011 - INFO - Frame 11: Sending 68 packets, total size 93970 bytes
2025-06-16 17:58:47,011 - INFO - Sent start of frame 11, total packets: 68
2025-06-16 17:58:47,091 - INFO - Sent end of frame 11, packet 67/67
2025-06-16 17:58:47,136 - INFO - Frame 12: Sending 69 packets, total size 95474 bytes
2025-06-16 17:58:47,137 - INFO - Sent start of frame 12, total packets: 69
2025-06-16 17:58:47,218 - INFO - Sent end of frame 12, packet 68/68
2025-06-16 17:58:47,262 - INFO - Frame 13: Sending 68 packets, total size 93833 bytes
2025-06-16 17:58:47,262 - INFO - Sent start of frame 13, total packets: 68
2025-06-16 17:58:47,508 - INFO - Sent end of frame 13, packet 67/67
2025-06-16 17:58:47,551 - INFO - Frame 14: Sending 69 packets, total size 94598 bytes
2025-06-16 17:58:47,552 - INFO - Sent start of frame 14, total packets: 69
2025-06-16 17:58:47,636 - INFO - Sent end of frame 14, packet 68/68
2025-06-16 17:58:47,680 - INFO - Frame 15: Sending 69 packets, total size 94386 bytes
2025-06-16 17:58:47,681 - INFO - Sent start of frame 15, total packets: 69
2025-06-16 17:58:47,760 - INFO - Sent end of frame 15, packet 68/68
2025-06-16 17:58:47,805 - INFO - Frame 16: Sending 70 packets, total size 95828 bytes
2025-06-16 17:58:47,805 - INFO - Sent start of frame 16, total packets: 70
2025-06-16 17:58:47,948 - INFO - Sent end of frame 16, packet 69/69
2025-06-16 17:58:47,993 - INFO - Frame 17: Sending 68 packets, total size 94336 bytes
2025-06-16 17:58:47,993 - INFO - Sent start of frame 17, total packets: 68
2025-06-16 17:58:48,073 - INFO - Sent end of frame 17, packet 67/67
2025-06-16 17:58:48,116 - INFO - Frame 18: Sending 69 packets, total size 94666 bytes
2025-06-16 17:58:48,116 - INFO - Sent start of frame 18, total packets: 69
2025-06-16 17:58:48,198 - INFO - Sent end of frame 18, packet 68/68
2025-06-16 17:58:48,241 - INFO - Frame 19: Sending 69 packets, total size 94411 bytes
2025-06-16 17:58:48,241 - INFO - Sent start of frame 19, total packets: 69
2025-06-16 17:58:48,323 - INFO - Sent end of frame 19, packet 68/68
2025-06-16 17:58:48,368 - INFO - Frame 20: Sending 70 packets, total size 96236 bytes
2025-06-16 17:58:48,369 - INFO - Sent start of frame 20, total packets: 70
2025-06-16 17:58:48,451 - INFO - Sent end of frame 20, packet 69/69
2025-06-16 17:58:48,494 - INFO - Frame 21: Sending 69 packets, total size 94570 bytes
2025-06-16 17:58:48,495 - INFO - Sent start of frame 21, total packets: 69
2025-06-16 17:58:48,643 - INFO - Sent end of frame 21, packet 68/68
2025-06-16 17:58:48,686 - INFO - Frame 22: Sending 69 packets, total size 94916 bytes
2025-06-16 17:58:48,686 - INFO - Sent start of frame 22, total packets: 69
2025-06-16 17:58:48,766 - INFO - Sent end of frame 22, packet 68/68
2025-06-16 17:58:48,809 - INFO - Frame 23: Sending 69 packets, total size 94809 bytes
2025-06-16 17:58:48,810 - INFO - Sent start of frame 23, total packets: 69
2025-06-16 17:58:48,890 - INFO - Sent end of frame 23, packet 68/68
2025-06-16 17:58:48,934 - INFO - Frame 24: Sending 70 packets, total size 96397 bytes
